timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1698604613993,4,StartPage,200,,sendComment 1-1,text,true,,22653,119,1,1,http://localhost:8090/,4,0,1
1698604614000,2,KlientPage,200,,sendComment 1-1,text,true,,6135,131,1,1,http://localhost:8090/clients.html,2,0,0
1698604614498,6,GetNameKlient,200,,sendComment 1-1,text,true,,6135,131,1,1,http://localhost:8090/clients.html,6,0,0
1698604615014,8,AddComment,200,,sendComment 1-1,text,true,,274,402,1,1,http://localhost:8090/service/guestbook,8,0,0
1698604615513,7,GuestView,200,,sendComment 1-1,text,true,,35988,136,1,1,http://localhost:8090/service/guestbook,7,0,0
1698604616017,0,Debug Sampler,200,OK,sendComment 1-1,text,true,,373,0,1,1,null,0,0,0
1698604616513,6,StartPage,200,,sendComment 1-1,text,true,,22653,119,1,1,http://localhost:8090/,5,0,0
1698604617000,5,KlientPage,200,,sendComment 1-1,text,true,,6135,131,1,1,http://localhost:8090/clients.html,5,0,0
1698604617483,4,GetNameKlient,200,,sendComment 1-1,text,true,,6135,131,1,1,http://localhost:8090/clients.html,4,0,0
1698604617968,20,AddComment,500,,sendComment 1-1,text,false,,1189,663,1,1,http://localhost:8090/service/guestbook,20,0,0
1698604618465,16,GuestView,200,,sendComment 1-1,text,true,,35988,136,1,1,http://localhost:8090/service/guestbook,15,0,2
1698604618481,0,Debug Sampler,200,OK,sendComment 1-1,text,true,,419,0,1,1,null,0,0,0
1698604618953,5,StartPage,200,,sendComment 1-1,text,true,,22653,119,1,1,http://localhost:8090/,5,0,0
1698604619425,5,KlientPage,200,,sendComment 1-1,text,true,,6135,131,1,1,http://localhost:8090/clients.html,5,0,0
1698604619896,4,GetNameKlient,200,,sendComment 1-1,text,true,,6135,131,1,1,http://localhost:8090/clients.html,4,0,0
1698604620368,4,AddComment,200,,sendComment 1-1,text,true,,274,608,1,1,http://localhost:8090/service/guestbook,4,0,0
1698604620834,24,GuestView,200,,sendComment 1-1,text,true,,36132,136,1,1,http://localhost:8090/service/guestbook,23,0,0
1698604621318,0,Debug Sampler,200,OK,sendComment 1-1,text,true,,409,0,1,1,null,0,0,0
1698604621767,6,StartPage,200,,sendComment 1-1,text,true,,22653,119,1,1,http://localhost:8090/,5,0,0
1698604622218,2,KlientPage,200,,sendComment 1-1,text,true,,6135,131,1,1,http://localhost:8090/clients.html,2,0,0
1698604622658,2,GetNameKlient,200,,sendComment 1-1,text,true,,6135,131,1,1,http://localhost:8090/clients.html,2,0,0
1698604623096,28,AddComment,200,,sendComment 1-1,text,true,,274,420,1,1,http://localhost:8090/service/guestbook,28,0,0
1698604623566,15,GuestView,200,,sendComment 1-1,text,true,,36212,136,1,1,http://localhost:8090/service/guestbook,14,0,0
1698604624021,0,Debug Sampler,200,OK,sendComment 1-1,text,true,,376,0,1,1,null,0,0,0
1698604624446,5,StartPage,200,,sendComment 1-1,text,true,,22653,119,1,1,http://localhost:8090/,4,0,0
1698604624884,4,KlientPage,200,,sendComment 1-1,text,true,,6135,131,1,1,http://localhost:8090/clients.html,4,0,0
1698604625320,5,GetNameKlient,200,,sendComment 1-1,text,true,,6135,131,1,1,http://localhost:8090/clients.html,5,0,0
1698604625744,4,AddComment,200,,sendComment 1-1,text,true,,274,504,1,1,http://localhost:8090/service/guestbook,4,0,0
1698604626181,12,GuestView,200,,sendComment 1-1,text,true,,36320,136,1,1,http://localhost:8090/service/guestbook,12,0,0
1698604626614,0,Debug Sampler,200,OK,sendComment 1-1,text,true,,390,0,1,1,null,0,0,0
1698604627044,5,StartPage,200,,sendComment 1-1,text,true,,22653,119,1,1,http://localhost:8090/,5,0,0
1698604627459,4,KlientPage,200,,sendComment 1-1,text,true,,6135,131,1,1,http://localhost:8090/clients.html,4,0,0
1698604627879,4,GetNameKlient,200,,sendComment 1-1,text,true,,6135,131,1,1,http://localhost:8090/clients.html,4,0,0
1698604628302,2,AddComment,200,,sendComment 1-1,text,true,,274,565,1,1,http://localhost:8090/service/guestbook,2,0,0
1698604628706,23,GuestView,200,,sendComment 1-1,text,true,,36449,136,1,1,http://localhost:8090/service/guestbook,22,0,0
1698604629145,0,Debug Sampler,200,OK,sendComment 1-1,text,true,,401,0,1,1,null,0,0,0
1698604629550,6,StartPage,200,,sendComment 1-1,text,true,,22653,119,1,1,http://localhost:8090/,5,0,0
1698604629957,5,KlientPage,200,,sendComment 1-1,text,true,,6135,131,1,1,http://localhost:8090/clients.html,5,0,0
1698604630362,6,GetNameKlient,200,,sendComment 1-1,text,true,,6135,131,1,1,http://localhost:8090/clients.html,6,0,0
1698604630770,20,AddComment,200,,sendComment 1-1,text,true,,274,514,1,1,http://localhost:8090/service/guestbook,20,0,0
1698604630791,15,GuestView,200,,sendComment 1-1,text,true,,36563,136,1,1,http://localhost:8090/service/guestbook,14,0,0
1698604631224,1,Debug Sampler,200,OK,sendComment 1-1,text,true,,395,0,1,1,null,0,0,0
1698604631616,2,StartPage,200,,sendComment 1-1,text,true,,22653,119,1,1,http://localhost:8090/,1,0,0
1698604632008,3,KlientPage,200,,sendComment 1-1,text,true,,6135,131,1,1,http://localhost:8090/clients.html,3,0,0
1698604632400,5,GetNameKlient,200,,sendComment 1-1,text,true,,6135,131,1,1,http://localhost:8090/clients.html,5,0,0
1698604632788,4,AddComment,200,,sendComment 1-1,text,true,,274,486,1,1,http://localhost:8090/service/guestbook,4,0,0
1698604633179,15,GuestView,200,,sendComment 1-1,text,true,,36665,136,1,1,http://localhost:8090/service/guestbook,14,0,0
1698604633582,0,Debug Sampler,200,OK,sendComment 1-1,text,true,,387,0,1,1,null,0,0,0
1698604633973,4,StartPage,200,,sendComment 1-1,text,true,,22653,119,1,1,http://localhost:8090/,3,0,0
1698604634362,2,KlientPage,200,,sendComment 1-1,text,true,,6135,131,1,1,http://localhost:8090/clients.html,2,0,0
1698604634739,2,GetNameKlient,200,,sendComment 1-1,text,true,,6135,131,1,1,http://localhost:8090/clients.html,2,0,0
1698604635112,1,AddComment,200,,sendComment 1-1,text,true,,274,608,1,1,http://localhost:8090/service/guestbook,1,0,0
1698604635483,5,GuestView,200,,sendComment 1-1,text,true,,36809,136,1,1,http://localhost:8090/service/guestbook,5,0,0
1698604635855,0,Debug Sampler,200,OK,sendComment 1-1,text,true,,409,0,1,1,null,0,0,0
1698604636234,2,StartPage,200,,sendComment 1-1,text,true,,22653,119,1,1,http://localhost:8090/,1,0,0
1698604636609,4,KlientPage,200,,sendComment 1-1,text,true,,6135,131,1,1,http://localhost:8090/clients.html,4,0,0
1698604636987,4,GetNameKlient,200,,sendComment 1-1,text,true,,6135,131,1,1,http://localhost:8090/clients.html,4,0,0
1698604637360,5,AddComment,200,,sendComment 1-1,text,true,,274,388,1,1,http://localhost:8090/service/guestbook,5,0,0
1698604637370,24,GuestView,200,,sendComment 1-1,text,true,,36887,136,1,1,http://localhost:8090/service/guestbook,23,0,0
1698604637752,0,Debug Sampler,200,OK,sendComment 1-1,text,true,,382,0,1,1,null,0,0,0
1698604638115,2,StartPage,200,,sendComment 1-1,text,true,,22653,119,1,1,http://localhost:8090/,1,0,0
1698604638475,2,KlientPage,200,,sendComment 1-1,text,true,,6135,131,1,1,http://localhost:8090/clients.html,2,0,0
1698604638837,2,GetNameKlient,200,,sendComment 1-1,text,true,,6135,131,1,1,http://localhost:8090/clients.html,2,0,0
1698604639200,6,AddComment,200,,sendComment 1-1,text,true,,274,474,1,1,http://localhost:8090/service/guestbook,6,0,0
1698604639559,5,GuestView,200,,sendComment 1-1,text,true,,36985,136,1,1,http://localhost:8090/service/guestbook,4,0,0
1698604639918,0,Debug Sampler,200,OK,sendComment 1-1,text,true,,386,0,1,1,null,0,0,0
1698604640279,2,StartPage,200,,sendComment 1-1,text,true,,22653,119,1,1,http://localhost:8090/,2,0,0
1698604640628,2,KlientPage,200,,sendComment 1-1,text,true,,6135,131,1,1,http://localhost:8090/clients.html,2,0,0
1698604640987,1,GetNameKlient,200,,sendComment 1-1,text,true,,6135,131,1,1,http://localhost:8090/clients.html,1,0,0
1698604641333,2,AddComment,200,,sendComment 1-1,text,true,,274,566,1,1,http://localhost:8090/service/guestbook,2,0,0
1698604641676,5,GuestView,200,,sendComment 1-1,text,true,,37115,136,1,1,http://localhost:8090/service/guestbook,5,0,0
1698604642036,0,Debug Sampler,200,OK,sendComment 1-1,text,true,,403,0,1,1,null,0,0,0
1698604642385,2,StartPage,200,,sendComment 1-1,text,true,,22653,119,1,1,http://localhost:8090/,2,0,0
1698604642728,2,KlientPage,200,,sendComment 1-1,text,true,,6135,131,1,1,http://localhost:8090/clients.html,2,0,0
1698604643071,2,GetNameKlient,200,,sendComment 1-1,text,true,,6135,131,1,1,http://localhost:8090/clients.html,2,0,0
1698604643416,4,AddComment,200,,sendComment 1-1,text,true,,274,420,1,1,http://localhost:8090/service/guestbook,4,0,0
1698604643757,26,GuestView,200,,sendComment 1-1,text,true,,37195,136,1,1,http://localhost:8090/service/guestbook,25,0,0
1698604644132,0,Debug Sampler,200,OK,sendComment 1-1,text,true,,377,0,1,1,null,0,0,0
1698604644477,2,StartPage,200,,sendComment 1-1,text,true,,22653,119,1,1,http://localhost:8090/,1,0,0
1698604644821,1,KlientPage,200,,sendComment 1-1,text,true,,6135,131,1,1,http://localhost:8090/clients.html,1,0,0
1698604645165,2,GetNameKlient,200,,sendComment 1-1,text,true,,6135,131,1,1,http://localhost:8090/clients.html,2,0,0
1698604645496,6,AddComment,200,,sendComment 1-1,text,true,,274,540,1,1,http://localhost:8090/service/guestbook,6,0,0
1698604645845,5,GuestView,200,,sendComment 1-1,text,true,,37315,136,1,1,http://localhost:8090/service/guestbook,4,0,0
1698604646190,0,Debug Sampler,200,OK,sendComment 1-1,text,true,,397,0,1,1,null,0,0,0
1698604646516,8,StartPage,200,,sendComment 1-1,text,true,,22653,119,1,1,http://localhost:8090/,7,0,0
1698604646873,6,KlientPage,200,,sendComment 1-1,text,true,,6135,131,1,1,http://localhost:8090/clients.html,6,0,0
1698604647217,4,GetNameKlient,200,,sendComment 1-1,text,true,,6135,131,1,1,http://localhost:8090/clients.html,4,0,0
1698604647544,4,AddComment,200,,sendComment 1-1,text,true,,274,547,1,1,http://localhost:8090/service/guestbook,4,0,0
1698604647890,17,GuestView,200,,sendComment 1-1,text,true,,37438,136,1,1,http://localhost:8090/service/guestbook,16,0,0
1698604648234,1,Debug Sampler,200,OK,sendComment 1-1,text,true,,399,0,1,1,null,0,0,0
1698604648560,5,StartPage,200,,sendComment 1-1,text,true,,22653,119,1,1,http://localhost:8090/,4,0,0
1698604648915,6,KlientPage,200,,sendComment 1-1,text,true,,6135,131,1,1,http://localhost:8090/clients.html,6,0,0
