timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1698604247187,29,StartPage,200,,Thread Group 1-1,text,true,,22653,119,1,1,http://localhost:8090/,29,0,20
1698604247728,9,KlientPage,200,,Thread Group 1-1,text,true,,6135,131,1,1,http://localhost:8090/clients.html,8,0,0
1698604248242,6,GetNameKlient,200,,Thread Group 1-1,text,true,,6135,131,1,1,http://localhost:8090/clients.html,6,0,0
1698604248884,54,AddComment,200,,Thread Group 1-1,text,true,,274,420,1,1,http://localhost:8090/service/guestbook,54,0,0
1698604249443,3,GuestView,200,,Thread Group 1-1,text,true,,353,136,1,1,http://localhost:8090/service/guestbook,3,0,0
1698604249957,7,Debug Sampler,200,OK,Thread Group 1-1,text,true,,377,0,1,1,null,0,0,0
1698604250460,6,StartPage,200,,Thread Group 1-1,text,true,,22653,119,1,1,http://localhost:8090/,6,0,0
1698604250956,6,KlientPage,200,,Thread Group 1-1,text,true,,6135,131,1,1,http://localhost:8090/clients.html,6,0,0
1698604250963,7,GetNameKlient,200,,Thread Group 1-1,text,true,,6135,131,1,1,http://localhost:8090/clients.html,7,0,0
1698604251472,7,AddComment,200,,Thread Group 1-1,text,true,,274,477,1,1,http://localhost:8090/service/guestbook,7,0,0
1698604251481,5,GuestView,200,,Thread Group 1-1,text,true,,455,136,1,1,http://localhost:8090/service/guestbook,5,0,0
1698604251969,1,Debug Sampler,200,OK,Thread Group 1-1,text,true,,389,0,1,1,null,0,0,0
1698604252454,6,StartPage,200,,Thread Group 1-1,text,true,,22653,119,1,1,http://localhost:8090/,6,0,0
1698604252938,6,KlientPage,200,,Thread Group 1-1,text,true,,6135,131,1,1,http://localhost:8090/clients.html,6,0,0
1698604252946,6,GetNameKlient,200,,Thread Group 1-1,text,true,,6135,131,1,1,http://localhost:8090/clients.html,6,0,0
1698604253426,6,AddComment,200,,Thread Group 1-1,text,true,,274,529,1,1,http://localhost:8090/service/guestbook,6,0,0
1698604253891,5,GuestView,200,,Thread Group 1-1,text,true,,576,136,1,1,http://localhost:8090/service/guestbook,5,0,0
1698604254356,0,Debug Sampler,200,OK,Thread Group 1-1,text,true,,401,0,1,1,null,0,0,0
1698604254821,7,StartPage,200,,Thread Group 1-1,text,true,,22653,119,1,1,http://localhost:8090/,6,0,0
1698604255288,5,KlientPage,200,,Thread Group 1-1,text,true,,6135,131,1,1,http://localhost:8090/clients.html,5,0,0
1698604255740,6,GetNameKlient,200,,Thread Group 1-1,text,true,,6135,131,1,1,http://localhost:8090/clients.html,6,0,0
1698604256210,6,AddComment,200,,Thread Group 1-1,text,true,,274,456,1,1,http://localhost:8090/service/guestbook,6,0,0
1698604256661,5,GuestView,200,,Thread Group 1-1,text,true,,668,136,1,1,http://localhost:8090/service/guestbook,5,0,0
1698604257112,1,Debug Sampler,200,OK,Thread Group 1-1,text,true,,383,0,1,1,null,0,0,0
1698604257548,7,StartPage,200,,Thread Group 1-1,text,true,,22653,119,1,1,http://localhost:8090/,7,0,0
1698604257997,6,KlientPage,200,,Thread Group 1-1,text,true,,6135,131,1,1,http://localhost:8090/clients.html,6,0,0
1698604258005,5,GetNameKlient,200,,Thread Group 1-1,text,true,,6135,131,1,1,http://localhost:8090/clients.html,5,0,0
1698604258450,6,AddComment,200,,Thread Group 1-1,text,true,,274,472,1,1,http://localhost:8090/service/guestbook,6,0,0
1698604258882,5,GuestView,200,,Thread Group 1-1,text,true,,774,136,1,1,http://localhost:8090/service/guestbook,5,0,0
1698604259317,0,Debug Sampler,200,OK,Thread Group 1-1,text,true,,397,0,1,1,null,0,0,0
1698604259750,8,StartPage,200,,Thread Group 1-1,text,true,,22653,119,1,1,http://localhost:8090/,7,0,0
1698604260186,7,KlientPage,200,,Thread Group 1-1,text,true,,6135,131,1,1,http://localhost:8090/clients.html,7,0,0
1698604260622,7,GetNameKlient,200,,Thread Group 1-1,text,true,,6135,131,1,1,http://localhost:8090/clients.html,7,0,0
1698604261060,6,AddComment,200,,Thread Group 1-1,text,true,,274,645,1,1,http://localhost:8090/service/guestbook,5,0,0
1698604261480,5,GuestView,200,,Thread Group 1-1,text,true,,931,136,1,1,http://localhost:8090/service/guestbook,5,0,0
1698604261903,0,Debug Sampler,200,OK,Thread Group 1-1,text,true,,417,0,1,1,null,0,0,0
1698604262312,7,StartPage,200,,Thread Group 1-1,text,true,,22653,119,1,1,http://localhost:8090/,6,0,0
